website,Meal Plan,Number of Meals (weekly),Weekly Price,per meal price
greenchef,Mediterranean,14,335.72,23.98
greenchef,Keto,14,335.72,23.98
greenchef,Protein Packed,14,335.72,23.98
greenchef,Calorie Smart,14,335.72,23.98
greenchef,Plant Based,14,335.72,23.98
greenchef,Quick & Easy,14,335.72,23.98
greenchef,Gluten Free,14,335.72,23.98
greenchef,Gut & Brain Health,14,335.72,23.98
hellofresh,Mostly Meat,10,135.89,13.589
hellofresh,Family Friendly,10,135.89,13.589
hellofresh,Carb Smart,10,135.89,13.589
hellofresh,Calorie Smart,10,135.89,13.589
hellofresh,Vegetarian,10,135.89,13.589
hellofresh,Quick and Easy,10,135.89,13.589
hellofresh,Pescatarian,10,135.89,13.589
hellofresh,High Protien,10,135.89,13.589
homechef,Protein-Packed,10,$99.90,$9.99
homechef,Carb-Conscious,10,$99.90,$9.99
homechef,Vegetarian,10,$99.90,$9.99
makegoodfood,Easy Prep,14,268.8,19.2
makegoodfood,Family,14,209.72,14.98
makegoodfood,classic,14,251.72,17.98
makegoodfood,vegetarian,14,234.92,16.78
makegoodfood,low carb,14,302.12,21.58
chef's plate,Meat & Vegetables,10,$104.89,$10.49
chef's plate,Family Friendly,10,$106.89,$10.69
chef's plate,Vegetarian,10,$107.89,$10.79
chef's plate,Speedy & Simple,10,$109.89,$10.99